DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;1000;;;;;;2;2887.832923;2887.832923;0.000000;0.125246;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;1000;107227.020000;;0;0;50000;2;5457.866271;5457.866271;0.000000;0.000000;0;0;;5492.248644;;;439.525431;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;1000;;972;;;;2;5470.094812;5470.094812;0.000000;0.522297;0;;;;;;;;;1;;;;;;;
