DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;3000;;;;;;2;5552.085515;5552.085515;0.000000;0.179853;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;3000;136300.985000;;0;0;50000;2;7554.095861;7554.095861;0.000000;0.000000;0;0;;7594.910265;;;619.354366;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;3000;;324;;;;2;7579.755225;7579.755225;0.000000;0.378585;0;;;;;;;;;1;;;;;;;
