DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;4;4000;;;;;;2;2887.951415;2887.951415;0.000000;0.118390;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;4;4000;105986.020000;;0;0;50000;2;4300.993521;4300.993521;0.000000;0.000000;0;0;;4319.430717;;;126.386895;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;4;4000;;12500;;;;2;4334.414393;4334.414393;0.000000;4.831925;0;;;;;;;;;1;;;;;;;
