DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;4000;;;;;;2;2887.832923;2887.832923;0.000000;0.184174;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;4000;105986.020000;;0;0;50000;2;5448.665904;5448.665904;0.000000;0.000000;0;0;;5482.944029;;;436.864170;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;4000;;972;;;;2;5470.094812;5470.094812;0.000000;0.559295;0;;;;;;;;;1;;;;;;;
