DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/39nodes4facilities.txt;../data/params.txt;0.5;10;3;2000;;;;;;2;10457.712628;10457.712628;0.000000;0.201601;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/39nodes4facilities.txt;../data/params.txt;0.5;10;3;2000;172740.955000;;0;0;50000;2;11477.691364;11477.691364;0.000000;0.000000;0;0;;11508.770149;;;359.120651;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/39nodes4facilities.txt;../data/params.txt;0.5;10;3;2000;;1024;;;;2;11482.630316;11482.630316;0.000000;28.973006;0;;;;;;;;;1;;;;;;;
