DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/39nodes4facilities.txt;../data/params.txt;0.5;10;3;0;;;;;;2;10457.712628;10457.712628;0.000000;0.195022;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/39nodes4facilities.txt;../data/params.txt;0.5;10;3;0;173772.455000;;0;0;50000;2;11465.690420;11465.690420;0.000000;0.000000;0;0;;11496.624970;;;355.795066;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/39nodes4facilities.txt;../data/params.txt;0.5;10;3;0;;1024;;;;2;11482.630316;11482.630316;0.000000;24.685395;0;;;;;;;;;1;;;;;;;
