DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;2000;;;;;;2;5551.881165;5551.881165;0.000000;0.186020;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;2000;136996.485000;;0;0;50000;2;6627.509085;6627.509085;0.000000;0.000000;0;0;;6655.793958;;;297.454653;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;2000;;1024;;;;2;6627.289260;6627.289260;0.000000;11.492097;0;;;;;;;;;1;;;;;;;
