DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Standard Normalization;EV;../data/usa/48nodes5facilities.txt;../data/params.txt;0.5;10;2;2000;;;;;;2;9253.576725;9253.576725;0.000000;0.132422;1.000000;;;;;;;;;1;;;;;;;
Standard Normalization;EEV_SAA;../data/usa/48nodes5facilities.txt;../data/params.txt;0.5;10;2;2000;191141.525000;;0;0;50000;2;10504.001868;10504.001868;0.000000;0.000000;0;0;;10544.118016;;;598.343749;;;1;;;;;;;
Standard Normalization;EEV;../data/usa/48nodes5facilities.txt;../data/params.txt;0.5;10;2;2000;;972;;;;2;10539.095644;10539.095644;0.000000;29.360511;0;;;;;;;;;1;;;;;;;
