DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;3000;;;;;;2;5552.768814;5552.768814;0.000000;0.005430;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;3000;136300.985000;;0;0;50000;2;7551.568213;7551.568213;0.000000;0.000000;0;0;;7592.351492;;;618.410106;;;;;;;;;;
Discrete Choice;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;3000;;324;;;;2;7577.239751;7577.239751;0.000000;0.296350;0;;;;;;;;;;;;;;;;
