DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/48nodes4facilities.txt;../data/params.txt;0.5;10;3;0;;;;;;2;11338.370385;11338.370385;0.000000;0.011868;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/48nodes4facilities.txt;../data/params.txt;0.5;10;3;0;186069.525000;;0;0;50000;2;12631.017672;12631.017672;0.000000;0.000000;0;0;;12665.215234;;;434.813073;;;;;;;;;;
Discrete Choice;EEV;../data/usa/48nodes4facilities.txt;../data/params.txt;0.5;10;3;0;;1024;;;;2;12646.503464;12646.503464;0.000000;32.003829;0;;;;;;;;;;;;;;;;
