DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/30nodes5facilities.txt;../data/params.txt;0.5;10;3;0;;;;;;2;4605.711281;4605.711281;0.000000;0.005348;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/30nodes5facilities.txt;../data/params.txt;0.5;10;3;0;156227.855000;;0;0;50000;2;11155.314297;11155.314297;0.000000;0.000000;0;0;;11222.363275;;;1671.462512;;;;;;;;;;
Discrete Choice;EEV;../data/usa/30nodes5facilities.txt;../data/params.txt;0.5;10;3;0;;4096;;;;2;11178.098290;11178.098290;0.000000;68.753470;0;;;;;;;;;;;;;;;;
