DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/25nodes5facilities.txt;../data/params.txt;0.5;10;3;2000;;;;;;2;4106.937863;4106.937863;0.000000;0.013648;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/25nodes5facilities.txt;../data/params.txt;0.5;10;3;2000;143099.985000;;0;0;50000;2;4908.927408;4908.927408;0.000000;0.000000;0;0;;4928.653500;;;144.675315;;;;;;;;;;
Discrete Choice;EEV;../data/usa/25nodes5facilities.txt;../data/params.txt;0.5;10;3;2000;;4096;;;;2;4930.752086;4930.752086;0.000000;47.098720;0;;;;;;;;;;;;;;;;
