DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;3;0;;;;;;2;9044.677481;9044.677481;0.000000;0.006287;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;3;0;178362.780000;;0;0;50000;2;14469.534986;14469.534986;0.000000;0.000000;0;0;;14533.680694;;;1529.845236;;;;;;;;;;
Discrete Choice;EEV;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;3;0;;4096;;;;2;14503.891068;14503.891068;0.000000;96.178277;0;;;;;;;;;;;;;;;;
