DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;1000;;;;;;2;5552.768814;5552.768814;0.000000;0.004738;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;1000;139040.485000;;0;0;50000;2;6613.675812;6613.675812;0.000000;0.000000;0;0;;6641.680359;;;291.587846;;;;;;;;;;
Discrete Choice;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;1000;;1024;;;;2;6624.384105;6624.384105;0.000000;11.405824;0;;;;;;;;;;;;;;;;
