DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;0;;;;;;2;5552.768814;5552.768814;0.000000;0.004701;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;0;138027.985000;;0;0;50000;2;6616.374476;6616.374476;0.000000;0.000000;0;0;;6644.458328;;;293.241638;;;;;;;;;;
Discrete Choice;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;0;;1024;;;;2;6624.384106;6624.384106;0.000000;9.892753;0;;;;;;;;;;;;;;;;
