DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;4000;;;;;;2;2888.085117;2888.085117;0.000000;0.006051;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;4000;105986.020000;;0;0;50000;2;5462.509957;5462.509957;0.000000;0.000000;0;0;;5496.923965;;;440.334604;;;;;;;;;;
Discrete Choice;EEV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;2;4000;;972;;;;2;5471.263193;5471.263193;0.000000;0.487006;0;;;;;;;;;;;;;;;;
