DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/30nodes4facilities.txt;../data/params.txt;0.5;10;2;2000;;;;;;2;6479.382137;6479.382137;0.000000;0.005942;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/30nodes4facilities.txt;../data/params.txt;0.5;10;2;2000;150548.855000;;0;0;50000;2;8587.294186;8587.294186;0.000000;0.000000;0;0;;8631.085660;;;713.003140;;;;;;;;;;
Discrete Choice;EEV;../data/usa/30nodes4facilities.txt;../data/params.txt;0.5;10;2;2000;;324;;;;2;8633.497013;8633.497013;0.000000;0.659685;0;;;;;;;;;;;;;;;;
