DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Discrete Choice;EV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;4;4000;;;;;;2;2888.085117;2888.085117;0.000000;0.003593;1.000000;;;;;;;;;;;;;;;;
Discrete Choice;EEV_SAA;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;4;4000;105986.020000;;0;0;50000;2;4305.111890;4305.111890;0.000000;0.000000;0;0;;4323.603351;;;127.131958;;;;;;;;;;
Discrete Choice;EEV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;4;4000;;12500;;;;2;4339.574004;4339.574004;0.000000;4.753178;0;;;;;;;;;;;;;;;;
