DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;4000;;;;;;2;5551.881165;5551.881165;0.000000;0.004995;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;4000;138663.485000;;0;0;50000;2;6593.137585;6593.137585;0.000000;0.000000;0;0;;6621.138732;;;291.517033;;;1;;;;;;;
Binomial;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;3;4000;;1024;;;;2;6625.028437;6625.028437;0.000000;11.254217;0;;;;;;;;;1;;;;;;;
