DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/48nodes5facilities.txt;../data/params.txt;0.5;10;3;2000;;;;;;2;9253.133760;9253.133760;0.000000;0.008335;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/48nodes5facilities.txt;../data/params.txt;0.5;10;3;2000;191141.525000;;0;0;50000;2;10238.642782;10238.642782;0.000000;0.000000;0;0;;10263.257645;;;225.271966;;;1;;;;;;;
Binomial;EEV;../data/usa/48nodes5facilities.txt;../data/params.txt;0.5;10;3;2000;;4096;;;;2;10245.200328;10245.200328;0.000000;90.038093;0;;;;;;;;;1;;;;;;;
