DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/30nodes5facilities.txt;../data/params.txt;0.5;10;2;2000;;;;;;2;4605.380565;4605.380565;0.000000;0.006829;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/30nodes5facilities.txt;../data/params.txt;0.5;10;2;2000;156652.355000;;0;0;50000;2;5807.092018;5807.092018;0.000000;0.000000;0;0;;5841.475391;;;439.551007;;;1;;;;;;;
Binomial;EEV;../data/usa/30nodes5facilities.txt;../data/params.txt;0.5;10;2;2000;;972;;;;2;5826.942211;5826.942211;0.000000;18.950766;0;;;;;;;;;1;;;;;;;
