DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;4;0;;;;;;2;9043.300955;9043.300955;0.000000;0.007240;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;4;0;178362.780000;;0;0;50000;2;10630.272120;10630.272120;0.000000;0.000000;0;0;;10664.469366;;;434.805017;;;1;;;;;;;
Binomial;EEV;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;4;0;;12500;;;;2;10671.408822;10671.408822;0.000000;160.339986;0;;;;;;;;;1;;;;;;;
