DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/15nodes4facilities.txt;../data/params.txt;0.5;10;4;4000;;;;;;2;3842.024421;3842.024421;0.000000;0.004012;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/15nodes4facilities.txt;../data/params.txt;0.5;10;4;4000;101498.520000;;0;0;50000;2;4395.978060;4395.978060;0.000000;0.000000;0;0;;4409.704645;;;70.054707;;;1;;;;;;;
Binomial;EEV;../data/usa/15nodes4facilities.txt;../data/params.txt;0.5;10;4;4000;;2500;;;;2;4398.560205;4398.560205;0.000000;10.710142;0;;;;;;;;;1;;;;;;;
