DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/30nodes4facilities.txt;../data/params.txt;0.5;10;2;1000;;;;;;2;6478.370736;6478.370736;0.000000;0.005786;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/30nodes4facilities.txt;../data/params.txt;0.5;10;2;1000;152592.855000;;0;0;50000;2;8584.037306;8584.037306;0.000000;0.000000;0;0;;8627.649225;;;707.168169;;;1;;;;;;;
Binomial;EEV;../data/usa/30nodes4facilities.txt;../data/params.txt;0.5;10;2;1000;;324;;;;2;8632.397443;8632.397443;0.000000;0.479803;0;;;;;;;;;1;;;;;;;
