DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;4;1000;;;;;;2;9043.300955;9043.300955;0.000000;0.012503;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;4;1000;180079.280000;;0;0;50000;2;10623.927784;10623.927784;0.000000;0.000000;0;0;;10658.093855;;;434.012649;;;1;;;;;;;
Binomial;EEV;../data/usa/39nodes5facilities.txt;../data/params.txt;0.5;10;4;1000;;12500;;;;2;10671.408822;10671.408822;0.000000;148.117961;0;;;;;;;;;1;;;;;;;
