DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;2000;;;;;;2;5551.881165;5551.881165;0.000000;0.007293;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;2000;136996.485000;;0;0;50000;2;7537.704990;7537.704990;0.000000;0.000000;0;0;;7578.056033;;;605.371306;;;1;;;;;;;
Binomial;EEV;../data/usa/25nodes4facilities.txt;../data/params.txt;0.5;10;2;2000;;324;;;;2;7578.569369;7578.569369;0.000000;0.346025;0;;;;;;;;;1;;;;;;;
