DISTRIBUTION;SOLVER;NETWORK_FILE;PARAMETER_FILE;PERC_BUDGET;EDGE_COST_MULT;CAPACITY;SEED;BUDGET;TOTAL_NB_SCE;NB_SAA_PROB;NB_SAA_SCE;NB_TEST_SAA;STATUS;LB;UB;GAP;TIME;NB_BRANCH_NODES;VAR_BRANCH_NODES;STAT_LB;STAT_UB;STAT_GAP;VAR_LB;VAR_UB;VAR_GAP;NB_SAA_NOT_SOLVED;VALID_INEQUALITY_SAA;IT_HOT_START;PAPADAKOS;USE_CALLBACK;USER_CUTS;VALID_INEQUALITY_EV;TRUST_REGION;
Binomial;EV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;3;1000;;;;;;2;2887.832923;2887.832923;0.000000;0.004667;1.000000;;;;;;;;;1;;;;;;;
Binomial;EEV_SAA;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;3;1000;107227.020000;;0;0;50000;2;4854.252891;4854.252891;0.000000;0.000000;0;0;;4878.086923;;;211.206540;;;1;;;;;;;
Binomial;EEV;../data/usa/15nodes5facilities.txt;../data/params.txt;0.5;10;3;1000;;4096;;;;2;4862.147500;4862.147500;0.000000;1.954862;0;;;;;;;;;1;;;;;;;
